model,triplet_id,domain,concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
TinyLlama-1.1B,4,Relational,Amaeru (甘える),16,0.28452188,0.045065045,0.0997116,0.37831938
TinyLlama-1.1B,4,Relational,Amaeru (甘える),17,0.30825043,0.051749527,0.11915749,0.4026028
TinyLlama-1.1B,4,Relational,Amaeru (甘える),18,0.32937294,0.05524373,0.17629027,0.4214204
TinyLlama-1.1B,4,Relational,Amaeru (甘える),19,0.44478887,0.055186152,0.25241017,0.48801333
TinyLlama-1.1B,4,Relational,Amaeru (甘える),20,0.42270404,0.05607432,0.34271473,0.45700568
TinyLlama-1.1B,4,Relational,Amaeru (甘える),21,0.60467756,0.058255732,0.4923135,0.6612185
TinyLlama-1.1B,4,Relational,Amaeru (甘える),22,0.8095052,0.07850456,0.7177802,0.86869174
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),0,0.87814593,0.16341418,0.661121,0.87814593
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),1,0.20381963,0.019669592,0.08667958,0.20336246
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),2,0.17957848,0.022827327,0.1004585,0.18103206
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),3,0.010873795,0.0003039837,0.0024560094,0.009876907
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),4,0.019765139,0.0006469488,0.004389107,0.017723799
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),5,0.03329742,0.0011623502,0.008045375,0.030816555
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),6,0.052201748,0.0018355846,0.012917876,0.050742447
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),7,0.07919335,0.0029855967,0.01691258,0.0876115
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),8,0.10120809,0.0048915744,0.024702728,0.12036848
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),9,0.12076652,0.005791664,0.027968049,0.14570665
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),10,0.14910185,0.008791387,0.036964893,0.18936151
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),11,0.1685642,0.012054503,0.041388154,0.2141788
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),12,0.18970841,0.014410138,0.049966156,0.24947494
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),13,0.20703542,0.01954621,0.059394002,0.29475415
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),14,0.22790772,0.02309519,0.066821694,0.32526296
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),15,0.24721879,0.02728206,0.07277006,0.34742326
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),16,0.3100534,0.031977355,0.118451655,0.40059376
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),17,0.3504085,0.04335469,0.14245474,0.43948114
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),18,0.35927916,0.050279558,0.20997876,0.44769156
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),19,0.49823916,0.05587256,0.29677528,0.52609646
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),20,0.4796418,0.06311858,0.39414048,0.4947179
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),21,0.6367163,0.066877425,0.5316452,0.66561544
TinyLlama-1.1B,5,Relational,Omoiyari (思いやり),22,0.83751523,0.081501186,0.71257246,0.8405199
TinyLlama-1.1B,6,Relational,On (恩),0,0.8984746,0.15112042,0.5995263,0.8984746
TinyLlama-1.1B,6,Relational,On (恩),1,0.21897215,0.015992463,0.0980317,0.22091436
TinyLlama-1.1B,6,Relational,On (恩),2,0.20135772,0.016378522,0.1051597,0.1897434
TinyLlama-1.1B,6,Relational,On (恩),3,0.011169672,0.00030988455,0.00204432,0.009796321
